data,feriado,itens_vendidos,soma_de_vendas
2018-01-10,,317.0,44824.929904937744
2018-01-11,,305.0,46376.65987586975
2018-01-12,,284.0,36932.960001945496
2018-01-13,,240.0,32690.4498462677
2018-01-14,,252.0,35390.74994468689
2018-01-15,,340.0,44987.639850616455
2018-01-16,,362.0,51129.290046691895
2018-01-17,,300.0,42151.920066833496
2018-01-18,,274.0,32765.290147781372
2018-01-19,,263.0,35290.88990020752
2018-01-20,,208.0,26960.000022888184
2018-01-21,,213.0,27920.909992218018
2018-01-22,,353.0,43434.79988861084
2018-01-23,,300.0,40298.32999420166
2018-01-24,,271.0,36912.42992401123
2018-01-25,,265.0,34872.07992744446
2018-01-26,,265.0,39281.26003456116
2018-01-27,,175.0,25106.769943237305
2018-01-28,,168.0,27551.099962234497
2018-01-29,,289.0,36056.519857406616
2018-01-30,,313.0,35374.81015777588
2018-01-31,,284.0,37793.950033187866
2018-02-01,,268.0,35767.92004776001
2018-02-02,,256.0,32532.450037002563
2018-02-03,,209.0,27572.17004585266
2018-02-04,,222.0,28261.910037994385
2018-02-05,,313.0,43196.970054626465
2018-02-06,,300.0,39850.369970321655
2018-02-07,,283.0,36339.23007583618
2018-02-08,,254.0,31816.800046920776
2018-02-09,,229.0,34925.50019073486
2018-02-10,,195.0,25031.200006484985
2018-02-11,,188.0,25964.32993888855
2018-02-12,Carnaval,250.0,27641.959894180298
2018-02-13,Carnaval,263.0,28125.120023727417
2018-02-14,Início da Quaresma,345.0,43417.1299495697
2018-02-15,,316.0,37950.5200920105
2018-02-16,,245.0,31709.939945220947
2018-02-17,,224.0,29414.489992141724
2018-02-18,,234.0,29071.930002212524
2018-02-19,,295.0,33735.95997619629
2018-02-20,,315.0,42552.78982925415
2018-02-21,,310.0,37926.95988082886
2018-02-22,,362.0,38690.929960250854
2018-02-23,,260.0,33072.95997810364
2018-02-24,,209.0,28298.46004676819
2018-02-25,,269.0,34930.88011932373
2018-02-26,,334.0,50115.00994873047
2018-02-27,,366.0,47076.989976882935
2018-02-28,,358.0,52260.55009460449
2018-03-01,,316.0,46189.24999046326
2018-03-02,,303.0,37373.5299243927
2018-03-03,,230.0,31367.120010375977
2018-03-04,,250.0,37351.00005149841
2018-03-05,,316.0,45384.450035095215
2018-03-06,,305.0,45971.240032196045
2018-03-07,,289.0,42471.159952163696
2018-03-08,,273.0,33842.1199760437
2018-03-09,,229.0,33716.489968299866
2018-03-10,,214.0,30828.009965896606
2018-03-11,,239.0,36618.350131988525
2018-03-12,,259.0,35930.889892578125
2018-03-13,,270.0,42179.58004570007
2018-03-14,,235.0,28323.840003967285
2018-03-15,,327.0,51444.06008720398
2018-03-16,,290.0,38760.35984992981
2018-03-17,,191.0,24000.210010528564
2018-03-18,,232.0,36076.38002204895
2018-03-19,,366.0,52621.1699180603
2018-03-20,,348.0,42887.929958343506
2018-03-21,,315.0,46433.96004486084
2018-03-22,,296.0,36989.79007053375
2018-03-23,,256.0,34638.149933815
2018-03-24,,189.0,27711.419960021973
2018-03-25,,226.0,30192.80006980896
2018-03-26,,320.0,41955.68002128601
2018-03-27,,289.0,40633.57992744446
2018-03-28,,242.0,34416.659969329834
2018-03-29,,224.0,33564.46988487244
2018-03-30,Sexta-feira Santa,185.0,26279.75009727478
2018-03-31,,193.0,29053.169907569885
2018-04-01,,232.0,34188.99999046326
2018-04-02,,332.0,47968.34011077881
2018-04-03,,279.0,42093.930128097534
2018-04-04,,287.0,43567.82020187378
2018-04-05,,298.0,42219.169921875
2018-04-06,,213.0,32285.360012054443
2018-04-07,,184.0,29014.860023498535
2018-04-08,,207.0,27883.60993385315
2018-04-09,,290.0,55782.81985664368
2018-04-10,,231.0,32535.2799949646
2018-04-11,,310.0,47204.469997406006
2018-04-12,,298.0,39945.37990760803
2018-04-13,,242.0,36440.52989196777
2018-04-14,,172.0,22397.8701171875
2018-04-15,,264.0,36564.19009399414
2018-04-16,,320.0,47364.650062561035
2018-04-17,,311.0,42612.800008773804
2018-04-18,,315.0,46308.65018463135
2018-04-19,,355.0,49872.220264434814
2018-04-20,,229.0,32666.480087280273
2018-04-21,Tiradentes,169.0,22465.88998413086
2018-04-22,,233.0,31991.789865493774
2018-04-23,,329.0,44363.29007911682
2018-04-24,,311.0,49905.01971626282
2018-04-25,,321.0,47356.49004936218
2018-04-26,,294.0,36912.77006149292
2018-04-27,,285.0,46764.30006599426
2018-04-28,,191.0,26978.520051956177
2018-04-29,,188.0,23060.949995040894
2018-04-30,,285.0,41036.6100769043
2018-05-01,Dia do Trabalhador,277.0,38451.48028564453
2018-05-02,,339.0,44764.319902420044
2018-05-03,,357.0,49577.959918022156
2018-05-04,,309.0,45494.10028076172
2018-05-05,,221.0,32640.66996383667
2018-05-06,,240.0,32994.230030059814
2018-05-07,,421.0,62460.18002986908
2018-05-08,,378.0,54720.09001159668
2018-05-09,,392.0,50968.64004135132
2018-05-10,,335.0,58871.870040893555
2018-05-11,,284.0,43250.00987625122
2018-05-12,,239.0,34712.38020133972
2018-05-13,,246.0,36202.290019989014
2018-05-14,,413.0,62230.73015975952
2018-05-15,,423.0,49505.99003505707
2018-05-16,,406.0,64742.06013298035
2018-05-17,,256.0,35966.73009681702
2018-05-18,,277.0,36429.76996040344
2018-05-19,,169.0,28319.730073928833
2018-05-20,,192.0,23086.119915008545
2018-05-21,,239.0,29665.969999313354
2018-05-22,,232.0,32070.659922599792
2018-05-23,,150.0,20262.300051689148
2018-05-24,,130.0,22278.700057029724
